x,GDP Growth,Inflation,Unemployment,PeopleOpinion,FutureOpinion
2007-01-01,3.3,2.3,8.6,63,
2008-01-01,1.1,2.6,7.5,53,32
2009-01-01,-5.6,0.3,7.7,28,45
2010-01-01,7.1,1.1,9.7,44,48
2011-01-01,5.9,2.1,9.0,67,28
2012-01-01,0.4,2.0,5.4,73,29
2013-01-01,0.1,1.5,5.3,75,27
