x,GDP Growth,Inflation,Unemployment,PeopleOpinion,FutureOpinion
2007-01-01,1.8,2.9,4.7,50,
2008-01-01,-0.3,3.8,5.9,20,24
2009-01-01,-2.8,-0.4,9.4,17,49
2010-01-01,2.5,1.6,9.7,24,46
2011-01-01,1.6,3.2,9.0,18,32
2012-01-01,2.3,2.1,8.2,31,42
2013-01-01,2.2,1.5,7.4,43,34
